cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.029997,0.019365,0.111368,1300
cell_01,0.015872,0.012738,0.043476,100
cell_02,0.015105,0.011828,0.064018,100
cell_03,0.014216,0.010599,0.039407,100
cell_04,0.011602,0.009381,0.035803,100
cell_05,0.019451,0.016483,0.057328,100
cell_06,0.016433,0.012214,0.071832,100
cell_07,0.016818,0.013874,0.048778,100
cell_08,0.084146,0.081717,0.111368,100
cell_09,0.032098,0.022019,0.07328,100
cell_10,0.019949,0.013927,0.080567,100
cell_11,0.012686,0.010166,0.042547,100
cell_12,0.023699,0.013706,0.102968,100
cell_13,0.026799,0.023087,0.064776,100
