model,precision,batch_size,global_rmse_ah,global_maxe_ah,cell_01_rmse_ah,cell_02_rmse_ah,cell_03_rmse_ah,cell_04_rmse_ah,cell_05_rmse_ah,cell_06_rmse_ah,cell_07_rmse_ah,cell_08_rmse_ah,cell_09_rmse_ah,cell_10_rmse_ah,cell_11_rmse_ah,cell_12_rmse_ah,cell_13_rmse_ah,p95_latency_ms,mean_latency_ms,throughput_cells_per_sec,norm_latency_ms_per_cell,mean_power_mw_total,mean_power_mw_gpu,energy_per_inference_mj
CNN-GRU,fp16,1,0.029926,0.113718,0.014559,0.013817,0.013089,0.010814,0.017766,0.016402,0.018012,0.085468,0.033305,0.018675,0.011181,0.023173,0.02484,4.4395,4.4134,226.5819,4.4134,5812.89,1508.92,25.6546
CNN-GRU,fp32,1,0.029998,0.111322,0.015877,0.015109,0.01422,0.011605,0.019462,0.016417,0.016821,0.08414,0.032098,0.019958,0.012691,0.023703,0.026809,4.7035,4.6832,213.5298,4.6832,5746.9,1541.0,26.9139
CNN-GRU,int8,1,0.029926,0.113718,0.014559,0.013817,0.013089,0.010814,0.017766,0.016402,0.018012,0.085468,0.033305,0.018675,0.011181,0.023173,0.02484,4.6922,4.6694,214.1607,4.6694,5740.52,1541.0,26.8048
CNN-GRU,fp16,32,0.029357,0.111695,0.015027,0.01369,0.013125,0.011625,0.017572,0.016035,0.018793,0.082537,0.033649,0.018534,0.010898,0.023633,0.024471,5.5264,5.4949,5823.5875,0.1717,5964.33,1595.67,32.7734
CNN-GRU,fp32,32,0.029997,0.111368,0.015872,0.015105,0.014216,0.011602,0.019451,0.016433,0.016818,0.084146,0.032098,0.019949,0.012686,0.023699,0.026799,7.5653,7.2863,4391.8228,0.2277,6258.5,1673.25,45.6013
CNN-GRU,int8,32,0.029369,0.111695,0.015064,0.013631,0.013134,0.011564,0.017633,0.016027,0.018828,0.082565,0.033692,0.018547,0.010893,0.023606,0.024485,5.5249,5.5125,5805.0274,0.1723,6045.0,1623.0,33.3231
CNN-GRU,fp16,96,0.029378,0.111695,0.015043,0.01369,0.013146,0.011538,0.017583,0.016065,0.018752,0.082625,0.033693,0.01851,0.010905,0.02362,0.024484,8.6568,8.2556,11628.4575,0.086,6411.0,1704.0,52.9267
CNN-GRU,fp32,96,0.029997,0.111368,0.015872,0.015105,0.014216,0.011602,0.019451,0.016433,0.016818,0.084146,0.032098,0.019949,0.012686,0.023699,0.026799,11.9099,11.4029,8418.9273,0.1188,6958.5,1824.0,79.3471
CNN-GRU,int8,96,0.029378,0.111695,0.015043,0.01369,0.013146,0.011538,0.017583,0.016065,0.018752,0.082625,0.033693,0.01851,0.010905,0.02362,0.024484,8.6093,8.2284,11666.849,0.0857,6573.0,1744.0,54.0853
CNN-LSTM,fp16,1,0.023245,0.118207,0.018134,0.02131,0.022476,0.013337,0.019132,0.017662,0.013795,0.033101,0.041109,0.020656,0.018384,0.024432,0.0233,4.476,4.4523,224.6031,4.4523,5803.64,1544.12,25.8395
CNN-LSTM,fp32,1,0.023331,0.118313,0.019233,0.022064,0.022215,0.012437,0.020211,0.017581,0.014655,0.032591,0.039446,0.021071,0.017937,0.02462,0.025472,4.6979,4.6573,214.7182,4.6573,5774.1,1541.0,26.8917
CNN-LSTM,int8,1,0.023245,0.118207,0.018134,0.02131,0.022476,0.013337,0.019132,0.017662,0.013795,0.033101,0.041109,0.020656,0.018384,0.024432,0.0233,4.4776,4.4534,224.5483,4.4534,5778.36,1541.0,25.7333
CNN-LSTM,fp16,32,0.023155,0.119176,0.017971,0.021367,0.022503,0.013152,0.019267,0.017477,0.013349,0.032964,0.040609,0.020692,0.018393,0.024618,0.023415,5.786,5.7571,5558.3393,0.1799,5896.67,1582.0,33.9477
CNN-LSTM,fp32,32,0.023324,0.118239,0.019222,0.022055,0.022223,0.012446,0.020194,0.017574,0.014624,0.032586,0.039445,0.021056,0.017942,0.024621,0.025448,6.6392,6.3847,5012.0016,0.1995,6234.67,1636.33,39.8065
CNN-LSTM,int8,32,0.023155,0.119176,0.017971,0.021367,0.022503,0.013152,0.019267,0.017477,0.013349,0.032964,0.040609,0.020692,0.018393,0.024618,0.023415,5.7717,5.7495,5565.7143,0.1797,6031.67,1609.33,34.6791
CNN-LSTM,fp16,96,0.023171,0.119176,0.018051,0.021385,0.022522,0.013179,0.019262,0.017464,0.013343,0.03296,0.040637,0.020715,0.018408,0.024618,0.023447,7.8511,7.4084,12958.2775,0.0772,6451.0,1704.0,47.7916
CNN-LSTM,fp32,96,0.023324,0.118239,0.019222,0.022055,0.022223,0.012446,0.020194,0.017574,0.014623,0.032586,0.039445,0.021056,0.017942,0.024621,0.025448,10.6575,10.0957,9508.9578,0.1052,6979.0,1785.0,70.4579
CNN-LSTM,int8,96,0.023171,0.119176,0.018051,0.021385,0.022522,0.013179,0.019262,0.017464,0.013343,0.03296,0.040637,0.020715,0.018408,0.024618,0.023447,7.8031,7.3949,12981.9537,0.077,6613.0,1744.0,48.9025
GRU,fp16,1,0.002464,0.016958,0.002362,0.002393,0.002231,0.002598,0.002194,0.002678,0.002711,0.003644,0.002512,0.001462,0.002047,0.00267,0.001875,4.6057,4.588,217.9611,4.588,5762.36,1543.16,26.4377
GRU,fp32,1,0.002467,0.016883,0.002367,0.002393,0.002231,0.002603,0.002194,0.002673,0.002706,0.003684,0.002506,0.001456,0.002041,0.002679,0.001859,4.4142,4.3961,227.4768,4.3961,5823.85,1508.91,25.6022
GRU,int8,1,0.002464,0.016958,0.002362,0.002393,0.002231,0.002598,0.002194,0.002678,0.002711,0.003644,0.002512,0.001462,0.002047,0.00267,0.001875,4.6108,4.59,217.8633,4.59,5746.62,1541.0,26.377
GRU,fp16,32,0.003829,0.014742,0.004573,0.003944,0.003464,0.003872,0.00388,0.003692,0.004007,0.004117,0.003864,0.003211,0.003683,0.003892,0.003391,5.4417,5.4057,5919.6258,0.1689,5896.67,1582.0,31.8756
GRU,fp32,32,0.002463,0.016913,0.002361,0.002391,0.00223,0.002597,0.002192,0.002674,0.002704,0.003665,0.002506,0.001456,0.002036,0.002674,0.001861,6.7734,6.7791,4720.3688,0.2118,6126.25,1643.0,41.5305
GRU,int8,32,0.003829,0.014742,0.004573,0.003944,0.003464,0.003872,0.00388,0.003692,0.004007,0.004117,0.003864,0.003211,0.003683,0.003892,0.003391,5.4109,5.3713,5957.547,0.1679,6018.33,1623.0,32.3263
GRU,fp16,96,0.00383,0.014742,0.004622,0.003879,0.003542,0.003921,0.003823,0.003739,0.003971,0.004294,0.003871,0.003102,0.003611,0.003845,0.003342,8.1511,7.7242,12428.441,0.0805,6329.0,1704.0,48.8865
GRU,fp32,96,0.002463,0.016913,0.002361,0.002391,0.00223,0.002597,0.002192,0.002674,0.002704,0.003665,0.002506,0.001456,0.002036,0.002674,0.001861,10.6074,10.0307,9570.5808,0.1045,6735.0,1785.0,67.5568
GRU,int8,96,0.00383,0.014742,0.004622,0.003879,0.003542,0.003921,0.003823,0.003739,0.003971,0.004294,0.003871,0.003102,0.003611,0.003845,0.003342,8.166,7.7497,12387.509,0.0807,6492.0,1744.0,50.3111
LSTM,fp16,1,0.004479,0.034929,0.003102,0.00315,0.002293,0.005255,0.003068,0.004499,0.004359,0.009066,0.006722,0.001646,0.002792,0.003532,0.003055,4.3816,4.3422,230.2992,4.3422,5797.48,1545.61,25.1738
LSTM,fp32,1,0.004375,0.03551,0.002957,0.003024,0.002257,0.005015,0.002897,0.004435,0.00423,0.008734,0.006795,0.00168,0.002645,0.003507,0.003189,4.6088,4.5567,219.4574,4.5567,5762.35,1539.74,26.2573
LSTM,int8,1,0.004479,0.034929,0.003102,0.00315,0.002293,0.005255,0.003068,0.004499,0.004359,0.009066,0.006722,0.001646,0.002792,0.003532,0.003055,4.384,4.3435,230.2276,4.3435,5774.03,1541.0,25.0795
LSTM,fp16,32,0.004312,0.037848,0.002594,0.002801,0.002746,0.003888,0.002463,0.004413,0.004058,0.008911,0.006803,0.002369,0.002452,0.003209,0.003856,5.6169,5.6136,5700.4715,0.1754,5872.33,1582.0,32.9649
