cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.024036,0.017953,0.167582,1300
cell_01,0.019461,0.013578,0.061045,100
cell_02,0.018316,0.013342,0.066083,100
cell_03,0.016684,0.013288,0.07383,100
cell_04,0.022554,0.01661,0.058987,100
cell_05,0.019079,0.014464,0.062676,100
cell_06,0.02202,0.01508,0.063946,100
cell_07,0.028213,0.023616,0.059389,100
cell_08,0.035989,0.032397,0.167582,100
cell_09,0.038216,0.032422,0.096607,100
cell_10,0.018061,0.014026,0.055018,100
cell_11,0.016379,0.011859,0.063335,100
cell_12,0.022498,0.014947,0.093973,100
cell_13,0.022536,0.017759,0.055056,100
