cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.023331,0.017227,0.118313,1300
cell_01,0.019233,0.013068,0.056642,100
cell_02,0.022064,0.015258,0.078984,100
cell_03,0.022215,0.015849,0.118313,100
cell_04,0.012437,0.009612,0.055197,100
cell_05,0.020211,0.013935,0.070591,100
cell_06,0.017581,0.014346,0.052308,100
cell_07,0.014655,0.01233,0.033495,100
cell_08,0.032591,0.026982,0.090993,100
cell_09,0.039446,0.03521,0.097459,100
cell_10,0.021071,0.014289,0.080705,100
cell_11,0.017937,0.013745,0.046204,100
cell_12,0.02462,0.017889,0.064902,100
cell_13,0.025472,0.021438,0.055159,100
