cell,rmse,mae,max_abs_error,n_samples
global,0.00889,0.006431,0.045832,1300
cell_01,0.008112,0.006071,0.024648,100
cell_02,0.006274,0.004851,0.033161,100
cell_03,0.006363,0.004947,0.025575,100
cell_04,0.007194,0.004885,0.023964,100
cell_05,0.007833,0.006139,0.023888,100
cell_06,0.007934,0.006513,0.020425,100
cell_07,0.008008,0.00678,0.021966,100
cell_08,0.013725,0.01198,0.025807,100
cell_09,0.013089,0.010069,0.030588,100
cell_10,0.007074,0.004746,0.030466,100
cell_11,0.005184,0.003941,0.016718,100
cell_12,0.011127,0.005729,0.045832,100
cell_13,0.009007,0.006954,0.02575,100
