cell,rmse,mae,max_abs_error,n_samples
global,0.008855,0.00638,0.045798,1300
cell_01,0.008022,0.005984,0.024552,100
cell_02,0.006178,0.004731,0.033135,100
cell_03,0.006286,0.004868,0.025629,100
cell_04,0.00714,0.004821,0.023871,100
cell_05,0.007726,0.006006,0.023713,100
cell_06,0.007896,0.006477,0.020466,100
cell_07,0.008011,0.006784,0.021915,100
cell_08,0.013804,0.012057,0.025888,100
cell_09,0.013113,0.01009,0.030701,100
cell_10,0.006982,0.004636,0.030426,100
cell_11,0.005118,0.0039,0.01657,100
cell_12,0.0111,0.005708,0.045798,100
cell_13,0.008913,0.006871,0.025599,100
