cell,rmse,mae,max_abs_error,n_samples
global,0.009311,0.007217,0.038376,1300
cell_01,0.007416,0.006236,0.016014,100
cell_02,0.006778,0.005741,0.016912,100
cell_03,0.005904,0.004608,0.022491,100
cell_04,0.00737,0.005082,0.032445,100
cell_05,0.008405,0.007019,0.027936,100
cell_06,0.010806,0.009536,0.033952,100
cell_07,0.011305,0.009812,0.037956,100
cell_08,0.008901,0.007189,0.024185,100
cell_09,0.014964,0.013102,0.030876,100
cell_10,0.008135,0.006504,0.023783,100
cell_11,0.00616,0.004757,0.015949,100
cell_12,0.011111,0.007252,0.038376,100
cell_13,0.009535,0.006977,0.025484,100
