cell,rmse,mae,max_abs_error,n_samples
global,0.000715,0.000549,0.004422,1300
cell_01,0.000702,0.000555,0.0018,100
cell_02,0.000617,0.000469,0.001895,100
cell_03,0.00065,0.000514,0.00198,100
cell_04,0.00082,0.000646,0.00204,100
cell_05,0.000643,0.000493,0.001536,100
cell_06,0.000796,0.000575,0.004422,100
cell_07,0.000629,0.000478,0.002559,100
cell_08,0.000415,0.000329,0.0017,100
cell_09,0.001029,0.000814,0.002972,100
cell_10,0.000477,0.000391,0.001386,100
cell_11,0.000683,0.000542,0.001709,100
cell_12,0.000864,0.000729,0.001884,100
cell_13,0.000755,0.000605,0.002229,100
