cell,rmse,mae,max_abs_error,n_samples
global,0.001792,0.001468,0.00507,1300
cell_01,0.001781,0.001532,0.003817,100
cell_02,0.001893,0.001627,0.004776,100
cell_03,0.002039,0.001685,0.004801,100
cell_04,0.002122,0.001861,0.004545,100
cell_05,0.001734,0.00139,0.00394,100
cell_06,0.001787,0.001443,0.0048,100
cell_07,0.001819,0.001558,0.003753,100
cell_08,0.000902,0.000745,0.002705,100
cell_09,0.001533,0.001162,0.004691,100
cell_10,0.001816,0.001464,0.004868,100
cell_11,0.00207,0.001794,0.00507,100
cell_12,0.001807,0.001518,0.004463,100
cell_13,0.001671,0.001307,0.004817,100
