cell,rmse,mae,max_abs_error,n_samples
global,0.00207,0.001463,0.015847,1300
cell_01,0.002238,0.001623,0.006959,100
cell_02,0.001751,0.001134,0.006041,100
cell_03,0.001317,0.000991,0.004739,100
cell_04,0.002265,0.001708,0.005908,100
cell_05,0.001571,0.001144,0.004314,100
cell_06,0.002174,0.001458,0.015847,100
cell_07,0.00188,0.001193,0.014917,100
cell_08,0.003756,0.003266,0.007966,100
cell_09,0.002762,0.002506,0.008491,100
cell_10,0.000953,0.000744,0.002553,100
cell_11,0.001452,0.000995,0.006862,100
cell_12,0.001999,0.001351,0.006203,100
cell_13,0.001141,0.000909,0.002864,100
