cell,rmse,mae,max_abs_error,n_samples
global,0.001979,0.001414,0.015683,1300
cell_01,0.001992,0.001437,0.006875,100
cell_02,0.001625,0.001116,0.005532,100
cell_03,0.001324,0.000977,0.00462,100
cell_04,0.002042,0.001552,0.006,100
cell_05,0.001442,0.001062,0.004085,100
cell_06,0.002184,0.001495,0.015683,100
cell_07,0.001928,0.001198,0.014967,100
cell_08,0.003358,0.002811,0.007588,100
cell_09,0.002808,0.002494,0.008597,100
cell_10,0.001021,0.000798,0.002363,100
cell_11,0.001361,0.00096,0.006588,100
cell_12,0.001871,0.001298,0.006019,100
cell_13,0.001512,0.001188,0.00349,100
