cell,rmse,mae,max_abs_error,n_samples
global,0.006259,0.005006,0.037602,1300
cell_01,0.005262,0.004107,0.018206,100
cell_02,0.006283,0.005173,0.019819,100
cell_03,0.005269,0.004165,0.022963,100
cell_04,0.004099,0.002786,0.021235,100
cell_05,0.006493,0.005595,0.017585,100
cell_06,0.0072,0.00574,0.024508,100
cell_07,0.007186,0.005914,0.025256,100
cell_08,0.00605,0.00532,0.026228,100
cell_09,0.008987,0.006725,0.037602,100
cell_10,0.00607,0.005309,0.013842,100
cell_11,0.004448,0.003638,0.015199,100
cell_12,0.005772,0.004714,0.019958,100
cell_13,0.006674,0.005895,0.017909,100
