cell,rmse,mae,max_abs_error,n_samples
global,0.006297,0.005051,0.036296,1300
cell_01,0.005371,0.004254,0.01842,100
cell_02,0.0064,0.005287,0.020143,100
cell_03,0.005264,0.0042,0.023014,100
cell_04,0.00423,0.002985,0.021856,100
cell_05,0.006573,0.005732,0.017881,100
cell_06,0.007213,0.005754,0.024135,100
cell_07,0.007303,0.006029,0.02534,100
cell_08,0.005442,0.004631,0.025221,100
cell_09,0.009124,0.006881,0.036296,100
cell_10,0.006115,0.005326,0.013936,100
cell_11,0.004507,0.003712,0.015533,100
cell_12,0.005802,0.004775,0.01994,100
cell_13,0.006869,0.006101,0.017802,100
