model,precision,batch_size,global_rmse,global_maxe,cell_01_rmse,cell_02_rmse,cell_03_rmse,cell_04_rmse,cell_05_rmse,cell_06_rmse,cell_07_rmse,cell_08_rmse,cell_09_rmse,cell_10_rmse,cell_11_rmse,cell_12_rmse,cell_13_rmse,p95_latency_ms,mean_latency_ms,throughput_cells_per_sec,norm_latency_ms_per_cell,mean_power_mw_total,mean_power_mw_gpu,energy_per_inference_mj
CNN-GRU,fp16,1,0.008855,0.045798,0.008022,0.006178,0.006286,0.00714,0.007726,0.007896,0.008011,0.013804,0.013113,0.006982,0.005118,0.0111,0.008913,4.4345,4.4117,226.6675,4.4117,,,
CNN-GRU,fp32,1,0.00889,0.045832,0.008112,0.006274,0.006363,0.007194,0.007833,0.007934,0.008008,0.013725,0.013089,0.007074,0.005184,0.011127,0.009007,4.696,4.6792,213.7135,4.6792,,,
CNN-GRU,int8,1,0.008855,0.045798,0.008022,0.006178,0.006286,0.00714,0.007726,0.007896,0.008011,0.013804,0.013113,0.006982,0.005118,0.0111,0.008913,4.7026,4.6759,213.8643,4.6759,,,
CNN-GRU,fp16,32,0.008877,0.045144,0.008261,0.006267,0.006346,0.007172,0.00791,0.008035,0.00767,0.013853,0.012826,0.00709,0.00522,0.011151,0.008999,5.5505,5.5263,5790.5162,0.1727,,,
CNN-GRU,fp32,32,0.00889,0.045785,0.008116,0.006244,0.006361,0.007199,0.007807,0.00794,0.008003,0.013787,0.013084,0.007061,0.005176,0.011118,0.008986,7.5195,7.255,4410.7645,0.2267,,,
CNN-GRU,int8,32,0.008877,0.045144,0.008261,0.006267,0.006346,0.007172,0.00791,0.008035,0.00767,0.013853,0.012826,0.00709,0.00522,0.011151,0.008999,5.5058,5.4799,5839.5213,0.1712,,,
CNN-LSTM,fp16,1,0.009367,0.038578,0.007489,0.006829,0.005995,0.007334,0.008375,0.010912,0.011379,0.008992,0.015034,0.008252,0.006179,0.011176,0.009563,4.5049,4.4724,223.5956,4.4724,,,
CNN-LSTM,fp32,1,0.009311,0.038376,0.007416,0.006778,0.005904,0.00737,0.008405,0.010806,0.011305,0.008901,0.014964,0.008135,0.00616,0.011111,0.009535,4.7215,4.679,213.719,4.679,,,
CNN-LSTM,int8,1,0.009367,0.038578,0.007489,0.006829,0.005995,0.007334,0.008375,0.010912,0.011379,0.008992,0.015034,0.008252,0.006179,0.011176,0.009563,4.4883,4.458,224.3133,4.458,,,
CNN-LSTM,fp16,32,0.009367,0.038515,0.007442,0.006815,0.006079,0.007322,0.008322,0.010984,0.011343,0.008964,0.015126,0.008197,0.006218,0.011188,0.009458,6.0025,5.7578,5557.679,0.1799,,,
CNN-LSTM,fp32,32,0.009316,0.038399,0.007422,0.006787,0.005905,0.007374,0.008415,0.010813,0.011312,0.008899,0.014968,0.00814,0.006165,0.011113,0.009543,6.6226,6.3836,5012.8613,0.1995,,,
CNN-LSTM,int8,32,0.009367,0.038515,0.007442,0.006815,0.006079,0.007322,0.008322,0.010984,0.011343,0.008964,0.015126,0.008197,0.006218,0.011188,0.009458,5.7551,5.7443,5570.7547,0.1795,,,
GRU,fp16,1,0.000715,0.004414,0.000702,0.000616,0.000653,0.000818,0.000641,0.000798,0.000626,0.000417,0.001027,0.000478,0.000684,0.000865,0.000754,4.5708,4.5482,219.8669,4.5482,,,
GRU,fp32,1,0.000718,0.004397,0.000707,0.00062,0.000655,0.000824,0.000645,0.000802,0.00063,0.00043,0.001023,0.000478,0.000687,0.00087,0.000748,4.6094,4.5812,218.2839,4.5812,,,
