03-04-2026 13:27:10 RAM 1848/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [60%@1510,66%@1510,50%@1510,66%@1510,14%@1510,14%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 71%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.843C SOC2@47.062C SOC0@44.718C CV1@-256C GPU@47.812C tj@47.843C SOC1@47.656C CV2@-256C VDD_IN 6126mW/6126mW VDD_CPU_GPU_CV 1944mW/1944mW VDD_SOC 1541mW/1541mW
03-04-2026 13:27:10 RAM 1847/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [87%@1510,28%@1510,0%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.937C SOC2@47.093C SOC0@44.812C CV1@-256C GPU@47.5C tj@47.937C SOC1@47.468C CV2@-256C VDD_IN 6167mW/6146mW VDD_CPU_GPU_CV 1985mW/1964mW VDD_SOC 1541mW/1541mW
03-04-2026 13:27:10 RAM 1854/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [60%@1510,16%@1510,14%@1510,83%@1510,14%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 87%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.656C SOC2@46.968C SOC0@44.968C CV1@-256C GPU@47.562C tj@47.656C SOC1@47.531C CV2@-256C VDD_IN 6167mW/6153mW VDD_CPU_GPU_CV 1985mW/1971mW VDD_SOC 1541mW/1541mW
03-04-2026 13:27:10 RAM 1854/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.781C SOC2@46.968C SOC0@44.812C CV1@-256C GPU@47.406C tj@47.843C SOC1@47.843C CV2@-256C VDD_IN 6208mW/6167mW VDD_CPU_GPU_CV 1944mW/1964mW VDD_SOC 1623mW/1561mW
03-04-2026 13:27:10 RAM 1854/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,0%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.437C SOC2@47.031C SOC0@45.031C CV1@-256C GPU@47.5C tj@47.718C SOC1@47.718C CV2@-256C VDD_IN 6411mW/6215mW VDD_CPU_GPU_CV 1904mW/1952mW VDD_SOC 1825mW/1614mW
03-04-2026 13:27:10 RAM 1854/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.593C SOC2@47.031C SOC0@45.125C CV1@-256C GPU@47.781C tj@47.781C SOC1@47.75C CV2@-256C VDD_IN 6573mW/6275mW VDD_CPU_GPU_CV 1904mW/1944mW VDD_SOC 2028mW/1683mW
03-04-2026 13:27:10 RAM 1854/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [16%@1510,0%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.562C SOC2@47.031C SOC0@44.968C CV1@-256C GPU@47.562C tj@47.937C SOC1@47.937C CV2@-256C VDD_IN 6695mW/6335mW VDD_CPU_GPU_CV 1863mW/1932mW VDD_SOC 2191mW/1755mW
03-04-2026 13:27:10 RAM 1854/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,0%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.75C SOC2@47.031C SOC0@45.093C CV1@-256C GPU@47.375C tj@47.75C SOC1@47.75C CV2@-256C VDD_IN 6816mW/6395mW VDD_CPU_GPU_CV 1863mW/1924mW VDD_SOC 2312mW/1825mW
03-04-2026 13:27:10 RAM 1855/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,14%@1510,16%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.562C SOC2@47C SOC0@45.031C CV1@-256C GPU@47.718C tj@47.718C SOC1@47.656C CV2@-256C VDD_IN 6816mW/6442mW VDD_CPU_GPU_CV 1823mW/1912mW VDD_SOC 2312mW/1879mW
03-04-2026 13:27:11 RAM 1875/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [16%@1510,0%@1510,50%@1510,71%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 90%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.562C SOC2@46.906C SOC0@44.812C CV1@-256C GPU@47.437C tj@47.687C SOC1@47.687C CV2@-256C VDD_IN 6695mW/6467mW VDD_CPU_GPU_CV 1863mW/1907mW VDD_SOC 2191mW/1910mW
03-04-2026 13:27:11 RAM 1873/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,16%@1510,83%@1510,50%@1510,14%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.593C SOC2@46.968C SOC0@44.906C CV1@-256C GPU@47.812C tj@47.812C SOC1@47.437C CV2@-256C VDD_IN 6654mW/6484mW VDD_CPU_GPU_CV 1863mW/1903mW VDD_SOC 2109mW/1928mW
03-04-2026 13:27:11 RAM 1860/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [16%@1510,0%@1510,0%@1510,85%@1510,33%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 87%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.906C SOC2@46.968C SOC0@44.968C CV1@-256C GPU@47.5C tj@47.906C SOC1@47.531C CV2@-256C VDD_IN 6573mW/6491mW VDD_CPU_GPU_CV 1863mW/1900mW VDD_SOC 2069mW/1940mW
03-04-2026 13:27:11 RAM 1860/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [25%@1510,0%@1510,0%@1510,100%@1510,0%@1510,14%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.406C SOC2@46.781C SOC0@44.718C CV1@-256C GPU@48.062C tj@48.062C SOC1@47.562C CV2@-256C VDD_IN 6492mW/6491mW VDD_CPU_GPU_CV 1863mW/1897mW VDD_SOC 1988mW/1943mW
03-04-2026 13:27:11 RAM 1860/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,100%@1510,14%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.75C SOC2@46.812C SOC0@44.812C CV1@-256C GPU@47.593C tj@47.75C SOC1@47.375C CV2@-256C VDD_IN 6370mW/6483mW VDD_CPU_GPU_CV 1823mW/1892mW VDD_SOC 1907mW/1941mW
03-04-2026 13:27:11 RAM 1860/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.281C SOC2@46.906C SOC0@44.812C CV1@-256C GPU@47.375C tj@47.437C SOC1@47.437C CV2@-256C VDD_IN 6289mW/6470mW VDD_CPU_GPU_CV 1823mW/1887mW VDD_SOC 1866mW/1936mW
03-04-2026 13:27:11 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [42%@1510,16%@1510,16%@1510,100%@1510,16%@1510,25%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 87%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.531C SOC2@46.843C SOC0@44.75C CV1@-256C GPU@47.468C tj@47.531C SOC1@47.593C CV2@-256C VDD_IN 6289mW/6458mW VDD_CPU_GPU_CV 1863mW/1886mW VDD_SOC 1825mW/1929mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,14%@1510,14%@1510,87%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.593C SOC2@46.812C SOC0@44.75C CV1@-256C GPU@47.812C tj@47.812C SOC1@47.406C CV2@-256C VDD_IN 6248mW/6446mW VDD_CPU_GPU_CV 1863mW/1884mW VDD_SOC 1744mW/1918mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,100%@1510,16%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.25C SOC2@46.843C SOC0@44.781C CV1@-256C GPU@47.437C tj@47.437C SOC1@47.406C CV2@-256C VDD_IN 6167mW/6430mW VDD_CPU_GPU_CV 1823mW/1881mW VDD_SOC 1744mW/1908mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [28%@1510,0%@1510,14%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.281C SOC2@46.781C SOC0@44.875C CV1@-256C GPU@47.312C tj@47.375C SOC1@47.375C CV2@-256C VDD_IN 6126mW/6414mW VDD_CPU_GPU_CV 1823mW/1878mW VDD_SOC 1704mW/1897mW
