cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.021305,0.015445,0.108345,1300
cell_01,0.019826,0.01457,0.062241,100
cell_02,0.01504,0.011579,0.07863,100
cell_03,0.01523,0.011895,0.062486,100
cell_04,0.017212,0.011343,0.057789,100
cell_05,0.018983,0.014906,0.056031,100
cell_06,0.019285,0.016189,0.046675,100
cell_07,0.018408,0.015448,0.052878,100
cell_08,0.033248,0.029259,0.060133,100
cell_09,0.030783,0.023559,0.072372,100
cell_10,0.017017,0.011397,0.074373,100
cell_11,0.012527,0.009562,0.039012,100
cell_12,0.026763,0.014034,0.108345,100
cell_13,0.021599,0.017049,0.060126,100
