cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.022358,0.017331,0.092157,1300
cell_01,0.017814,0.014977,0.038453,100
cell_02,0.016288,0.013796,0.040741,100
cell_03,0.014172,0.01106,0.053995,100
cell_04,0.017698,0.012208,0.077921,100
cell_05,0.020197,0.016874,0.067001,100
cell_06,0.025952,0.022903,0.081572,100
cell_07,0.02715,0.023567,0.091112,100
cell_08,0.021358,0.017255,0.058066,100
cell_09,0.035923,0.031448,0.074107,100
cell_10,0.019535,0.015618,0.05706,100
cell_11,0.014796,0.011426,0.038267,100
cell_12,0.026672,0.017412,0.092157,100
cell_13,0.022902,0.016763,0.061216,100
