cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.0043,0.003524,0.012168,1300
cell_01,0.004273,0.003676,0.009161,100
cell_02,0.004543,0.003905,0.011463,100
cell_03,0.004892,0.004044,0.011521,100
cell_04,0.005092,0.004467,0.010907,100
cell_05,0.004162,0.003336,0.009456,100
cell_06,0.004289,0.003463,0.011519,100
cell_07,0.004367,0.003739,0.009008,100
cell_08,0.002164,0.001787,0.006492,100
cell_09,0.00368,0.002788,0.011258,100
cell_10,0.004359,0.003514,0.011683,100
cell_11,0.004967,0.004307,0.012168,100
cell_12,0.004336,0.003644,0.010712,100
cell_13,0.00401,0.003137,0.01156,100
