cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.004993,0.003526,0.038073,1300
cell_01,0.00543,0.003948,0.016842,100
cell_02,0.004249,0.00275,0.014633,100
cell_03,0.003179,0.002391,0.011488,100
cell_04,0.005499,0.004141,0.014228,100
cell_05,0.00381,0.002765,0.010469,100
cell_06,0.005198,0.003464,0.038073,100
cell_07,0.004512,0.002857,0.035844,100
cell_08,0.009087,0.00792,0.019144,100
cell_09,0.006589,0.005977,0.020393,100
cell_10,0.002294,0.001799,0.00622,100
cell_11,0.00352,0.002406,0.016546,100
cell_12,0.00484,0.003276,0.014859,100
cell_13,0.00269,0.002149,0.006748,100
