cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.015023,0.012018,0.090189,1300
cell_01,0.012635,0.009861,0.043716,100
cell_02,0.015081,0.012419,0.047514,100
cell_03,0.012646,0.01,0.055102,100
cell_04,0.009839,0.006693,0.050965,100
cell_05,0.015595,0.013441,0.042203,100
cell_06,0.017288,0.013783,0.05884,100
cell_07,0.017247,0.014191,0.060594,100
cell_08,0.014496,0.012744,0.062868,100
cell_09,0.02157,0.016149,0.090189,100
cell_10,0.014571,0.012746,0.033262,100
cell_11,0.010674,0.008734,0.036468,100
cell_12,0.013859,0.011321,0.047832,100
cell_13,0.016024,0.014157,0.042944,100
