cell,rmse,mae,max_abs_error,n_samples
global,0.012469,0.00779,0.047382,1300
cell_01,0.006066,0.004706,0.017171,100
cell_02,0.005757,0.004447,0.026712,100
cell_03,0.005454,0.004059,0.016147,100
cell_04,0.004506,0.003655,0.014352,100
cell_05,0.007402,0.006164,0.022917,100
cell_06,0.006834,0.005069,0.030025,100
cell_07,0.007505,0.006048,0.021983,100
cell_08,0.035612,0.034577,0.047382,100
cell_09,0.013877,0.00949,0.031711,100
cell_10,0.007781,0.005284,0.032572,100
cell_11,0.004659,0.00359,0.016525,100
cell_12,0.009656,0.00534,0.04259,100
cell_13,0.01035,0.008839,0.026312,100
