cell,rmse,mae,max_abs_error,n_samples
global,0.012241,0.007709,0.04654,1300
cell_01,0.006268,0.004873,0.018121,100
cell_02,0.005704,0.00441,0.026903,100
cell_03,0.005477,0.004072,0.017247,100
cell_04,0.004808,0.003888,0.015289,100
cell_05,0.007326,0.006103,0.022459,100
cell_06,0.006694,0.004884,0.029702,100
cell_07,0.007813,0.006286,0.021803,100
cell_08,0.034427,0.033272,0.04654,100
cell_09,0.014039,0.009416,0.03308,100
cell_10,0.007713,0.005354,0.031965,100
cell_11,0.004544,0.003578,0.015014,100
cell_12,0.009842,0.005411,0.043191,100
cell_13,0.010202,0.008672,0.026762,100
