cell,rmse,mae,max_abs_error,n_samples
global,0.009721,0.007178,0.049297,1300
cell_01,0.008014,0.005445,0.023601,100
cell_02,0.009193,0.006358,0.03291,100
cell_03,0.009256,0.006604,0.049297,100
cell_04,0.005182,0.004005,0.022999,100
cell_05,0.008421,0.005806,0.029413,100
cell_06,0.007325,0.005978,0.021795,100
cell_07,0.006106,0.005138,0.013956,100
cell_08,0.01358,0.011242,0.037914,100
cell_09,0.016436,0.014671,0.040608,100
cell_10,0.00878,0.005954,0.033627,100
cell_11,0.007474,0.005727,0.019252,100
cell_12,0.010258,0.007454,0.027042,100
cell_13,0.010613,0.008932,0.022983,100
