cell,rmse,mae,max_abs_error,n_samples
global,0.009655,0.007138,0.049657,1300
cell_01,0.007521,0.00513,0.022667,100
cell_02,0.00891,0.006262,0.032118,100
cell_03,0.009384,0.006749,0.049657,100
cell_04,0.005491,0.004443,0.022299,100
cell_05,0.008026,0.005458,0.028807,100
cell_06,0.007277,0.005852,0.021889,100
cell_07,0.005559,0.004658,0.012537,100
cell_08,0.013733,0.01144,0.036833,100
cell_09,0.016932,0.015048,0.04136,100
cell_10,0.008631,0.006014,0.032454,100
cell_11,0.00767,0.00607,0.018489,100
cell_12,0.010258,0.007545,0.026797,100
cell_13,0.00977,0.008127,0.021449,100
