cell,rmse,mae,max_abs_error,n_samples
global,0.001028,0.000777,0.007034,1300
cell_01,0.000986,0.000737,0.00245,100
cell_02,0.000997,0.000681,0.002792,100
cell_03,0.00093,0.000598,0.004168,100
cell_04,0.001085,0.000868,0.002641,100
cell_05,0.000914,0.000688,0.002459,100
cell_06,0.001114,0.000717,0.007034,100
cell_07,0.001128,0.000815,0.002505,100
cell_08,0.001535,0.001511,0.002236,100
cell_09,0.001044,0.000892,0.002912,100
cell_10,0.000607,0.000477,0.001598,100
cell_11,0.000851,0.000613,0.002632,100
cell_12,0.001116,0.000831,0.002805,100
cell_13,0.000775,0.000671,0.001728,100
