cell,rmse,mae,max_abs_error,n_samples
global,0.001595,0.001297,0.006142,1300
cell_01,0.001906,0.001625,0.003817,100
cell_02,0.001643,0.001305,0.004599,100
cell_03,0.001443,0.001111,0.004233,100
cell_04,0.001613,0.001325,0.003905,100
cell_05,0.001617,0.001322,0.004264,100
cell_06,0.001538,0.001179,0.006142,100
cell_07,0.00167,0.001308,0.004335,100
cell_08,0.001716,0.001636,0.002927,100
cell_09,0.00161,0.001389,0.004206,100
cell_10,0.001338,0.001094,0.002955,100
cell_11,0.001535,0.001209,0.004781,100
cell_12,0.001621,0.001266,0.004399,100
cell_13,0.001413,0.001089,0.004155,100
