cell,rmse,mae,max_abs_error,n_samples
global,0.001866,0.001296,0.014554,1300
cell_01,0.001293,0.000953,0.003876,100
cell_02,0.001312,0.000951,0.004762,100
cell_03,0.000955,0.000713,0.003268,100
cell_04,0.00219,0.001771,0.005361,100
cell_05,0.001278,0.000999,0.003825,100
cell_06,0.001875,0.001168,0.011981,100
cell_07,0.001816,0.001182,0.011333,100
cell_08,0.003777,0.003414,0.014554,100
cell_09,0.002801,0.002336,0.013314,100
cell_10,0.000686,0.000533,0.002161,100
cell_11,0.001163,0.000837,0.005799,100
cell_12,0.001472,0.001166,0.004871,100
cell_13,0.001273,0.000826,0.009056,100
