cell,rmse,mae,max_abs_error,n_samples
global,0.0018,0.001247,0.01577,1300
cell_01,0.001078,0.00078,0.003945,100
cell_02,0.00118,0.000896,0.004442,100
cell_03,0.001126,0.000878,0.002984,100
cell_04,0.001632,0.001244,0.004511,100
cell_05,0.001023,0.000796,0.003596,100
cell_06,0.001872,0.001123,0.013242,100
cell_07,0.00169,0.001017,0.012038,100
cell_08,0.003697,0.003271,0.01577,100
cell_09,0.002838,0.002372,0.011527,100
cell_10,0.000988,0.000782,0.002427,100
cell_11,0.001047,0.000782,0.005123,100
cell_12,0.001366,0.001124,0.004554,100
cell_13,0.001601,0.001142,0.009157,100
