cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.00432,0.002992,0.037848,1300
cell_01,0.002588,0.001873,0.009468,100
cell_02,0.002832,0.00215,0.010661,100
cell_03,0.002703,0.002107,0.007162,100
cell_04,0.003916,0.002985,0.010828,100
cell_05,0.002456,0.001911,0.008631,100
cell_06,0.004494,0.002696,0.03178,100
cell_07,0.004055,0.002442,0.02889,100
cell_08,0.008872,0.00785,0.037848,100
cell_09,0.00681,0.005692,0.027664,100
cell_10,0.002371,0.001878,0.005826,100
cell_11,0.002512,0.001876,0.012296,100
cell_12,0.003279,0.002698,0.01093,100
cell_13,0.003843,0.002742,0.021978,100
