cell,rmse,mae,max_abs_error,n_samples
global,0.00896,0.006961,0.065019,1300
cell_01,0.007709,0.006252,0.016787,100
cell_02,0.006797,0.005372,0.01519,100
cell_03,0.006184,0.004947,0.013974,100
cell_04,0.007718,0.006254,0.015876,100
cell_05,0.007892,0.006594,0.016599,100
cell_06,0.007874,0.005737,0.024447,100
cell_07,0.011173,0.009747,0.021401,100
cell_08,0.010948,0.009115,0.065019,100
cell_09,0.015191,0.01251,0.038927,100
cell_10,0.007042,0.005642,0.020065,100
cell_11,0.006147,0.004815,0.015631,100
cell_12,0.007925,0.005845,0.022562,100
cell_13,0.009507,0.007669,0.020082,100
