cell,rmse,mae,max_abs_error,n_samples
global,0.010015,0.00748,0.069826,1300
cell_01,0.008109,0.005658,0.025435,100
cell_02,0.007632,0.005559,0.027534,100
cell_03,0.006952,0.005537,0.030762,100
cell_04,0.009397,0.006921,0.024578,100
cell_05,0.00795,0.006027,0.026115,100
cell_06,0.009175,0.006284,0.026644,100
cell_07,0.011755,0.00984,0.024745,100
cell_08,0.014995,0.013499,0.069826,100
cell_09,0.015923,0.013509,0.040253,100
cell_10,0.007526,0.005844,0.022924,100
cell_11,0.006824,0.004941,0.02639,100
cell_12,0.009374,0.006228,0.039156,100
cell_13,0.00939,0.0074,0.02294,100
