model,precision,batch_size,global_rmse_ah,global_maxe_ah,cell_01_rmse_ah,cell_02_rmse_ah,cell_03_rmse_ah,cell_04_rmse_ah,cell_05_rmse_ah,cell_06_rmse_ah,cell_07_rmse_ah,cell_08_rmse_ah,cell_09_rmse_ah,cell_10_rmse_ah,cell_11_rmse_ah,cell_12_rmse_ah,cell_13_rmse_ah,p95_latency_ms,mean_latency_ms,throughput_cells_per_sec,norm_latency_ms_per_cell,mean_power_mw_total,mean_power_mw_gpu,energy_per_inference_mj
CNN-GRU,fp16,1,0.029926,0.113718,0.014559,0.013817,0.013089,0.010814,0.017766,0.016402,0.018012,0.085468,0.033305,0.018675,0.011181,0.023173,0.02484,4.4329,4.4101,226.7511,4.4101,5775.45,1501.0,25.4703
CNN-GRU,fp32,1,0.029998,0.111322,0.015877,0.015109,0.01422,0.011605,0.019462,0.016417,0.016821,0.08414,0.032098,0.019958,0.012691,0.023703,0.026809,4.723,4.6969,212.9044,4.6969,5699.87,1508.09,26.7717
CNN-GRU,int8,1,0.029926,0.113718,0.014559,0.013817,0.013089,0.010814,0.017766,0.016402,0.018012,0.085468,0.033305,0.018675,0.011181,0.023173,0.02484,4.6977,4.6708,214.097,4.6708,5654.55,1501.0,26.4113
CNN-GRU,fp16,32,0.029357,0.111695,0.015027,0.01369,0.013125,0.011625,0.017572,0.016035,0.018793,0.082537,0.033649,0.018534,0.010898,0.023633,0.024471,5.5119,5.4811,5838.2034,0.1713,6047.46,1583.83,33.1467
CNN-GRU,fp32,32,0.029997,0.111368,0.015872,0.015105,0.014216,0.011602,0.019451,0.016433,0.016818,0.084146,0.032098,0.019949,0.012686,0.023699,0.026799,7.2486,7.2277,4427.4286,0.2259,6336.24,1668.29,45.7964
CNN-GRU,int8,32,0.029369,0.111695,0.015064,0.013631,0.013134,0.011564,0.017633,0.016027,0.018828,0.082565,0.033692,0.018547,0.010893,0.023606,0.024485,5.5069,5.4718,5848.1984,0.171,6043.37,1582.0,33.0681
CNN-GRU,fp16,96,0.029378,0.111695,0.015043,0.01369,0.013146,0.011538,0.017583,0.016065,0.018752,0.082625,0.033693,0.01851,0.010905,0.02362,0.024484,8.1743,8.142,11790.665,0.0848,6642.84,1740.94,54.086
CNN-GRU,fp32,96,0.029997,0.111368,0.015872,0.015105,0.014216,0.011602,0.019451,0.016433,0.016818,0.084146,0.032098,0.019949,0.012686,0.023699,0.026799,11.2888,11.2645,8522.354,0.1173,7202.13,1861.24,81.1284
CNN-GRU,int8,96,0.029378,0.111695,0.015043,0.01369,0.013146,0.011538,0.017583,0.016065,0.018752,0.082625,0.033693,0.01851,0.010905,0.02362,0.024484,8.1373,8.1204,11822.1049,0.0846,6643.96,1742.47,53.9516
CNN-LSTM,fp16,1,0.023245,0.118207,0.018134,0.02131,0.022476,0.013337,0.019132,0.017662,0.013795,0.033101,0.041109,0.020656,0.018384,0.024432,0.0233,4.4779,4.456,224.4159,4.456,5656.91,1498.15,25.2072
CNN-LSTM,fp32,1,0.023331,0.118313,0.019233,0.022064,0.022215,0.012437,0.020211,0.017581,0.014655,0.032591,0.039446,0.021071,0.017937,0.02462,0.025472,4.7328,4.7008,212.7303,4.7008,5610.47,1488.2,26.3737
CNN-LSTM,int8,1,0.023245,0.118207,0.018134,0.02131,0.022476,0.013337,0.019132,0.017662,0.013795,0.033101,0.041109,0.020656,0.018384,0.024432,0.0233,4.4756,4.4523,224.603,4.4523,5634.89,1480.11,25.0882
CNN-LSTM,fp16,32,0.023155,0.119176,0.017971,0.021367,0.022503,0.013152,0.019267,0.017477,0.013349,0.032964,0.040609,0.020692,0.018393,0.024618,0.023415,5.7703,5.7357,5579.1291,0.1792,5935.12,1559.4,34.0421
CNN-LSTM,fp32,32,0.023324,0.118239,0.019222,0.022055,0.022223,0.012446,0.020194,0.017574,0.014624,0.032586,0.039445,0.021056,0.017942,0.024621,0.025448,6.3483,6.3365,5050.1202,0.198,6380.7,1631.97,40.4313
CNN-LSTM,int8,32,0.023155,0.119176,0.017971,0.021367,0.022503,0.013152,0.019267,0.017477,0.013349,0.032964,0.040609,0.020692,0.018393,0.024618,0.023415,5.7265,5.7152,5599.0799,0.1786,5920.85,1552.68,33.8388
