cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.029926,0.018696,0.113718,1300
cell_01,0.014559,0.011296,0.041211,100
cell_02,0.013817,0.010674,0.06411,100
cell_03,0.013089,0.009741,0.038752,100
cell_04,0.010814,0.008771,0.034445,100
cell_05,0.017766,0.014793,0.055,100
cell_06,0.016402,0.012167,0.072059,100
cell_07,0.018012,0.014514,0.05276,100
cell_08,0.085468,0.082984,0.113718,100
cell_09,0.033305,0.022776,0.076106,100
cell_10,0.018675,0.012681,0.078172,100
cell_11,0.011181,0.008616,0.039661,100
cell_12,0.023173,0.012817,0.102216,100
cell_13,0.02484,0.021214,0.063148,100
