cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.002463,0.001862,0.016913,1300
cell_01,0.002361,0.001764,0.005835,100
cell_02,0.002391,0.001637,0.00669,100
cell_03,0.00223,0.00143,0.010011,100
cell_04,0.002597,0.002078,0.00635,100
cell_05,0.002192,0.001649,0.0059,100
cell_06,0.002674,0.001718,0.016913,100
cell_07,0.002704,0.001959,0.006011,100
cell_08,0.003665,0.003609,0.005298,100
cell_09,0.002506,0.002144,0.00695,100
cell_10,0.001456,0.001145,0.003853,100
cell_11,0.002036,0.001468,0.006272,100
cell_12,0.002674,0.00199,0.006694,100
cell_13,0.001861,0.001613,0.00414,100
