cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.02417,0.017395,0.153664,1300
cell_01,0.01744,0.011985,0.072564,100
cell_02,0.016582,0.011954,0.062224,100
cell_03,0.017895,0.013914,0.08358,100
cell_04,0.018863,0.013949,0.062945,100
cell_05,0.01821,0.012802,0.065248,100
cell_06,0.027312,0.018668,0.082124,100
cell_07,0.031563,0.025277,0.069773,100
cell_08,0.030837,0.02701,0.153664,100
cell_09,0.042079,0.034843,0.106553,100
cell_10,0.019395,0.014225,0.060061,100
cell_11,0.016705,0.011658,0.070907,100
cell_12,0.023444,0.016091,0.08593,100
cell_13,0.018407,0.013761,0.058306,100
